Penyakit,Gejala,Solusi
Virus Kuning (Bawang Merah),bawang merah virus kuning daun keriting kerdil berubah warna kuning pucat,"**(Penyebab: Virus Gemini via kutu kebul)**

Langkah Penanganan:
Kendalikan kutu kebul, varietas tahan"
Busuk Akar (Bawang Merah),bawang merah busuk akar akar membusuk tanaman layu mendadak jaringan akar rusak,"**(Penyebab: Phytophthora spp.)**

Langkah Penanganan:
Perbaiki drainase, fungisida tanah"
Penggerek Buah (Bawang Merah),bawang merah penggerek buah buah berlubang kecil biji rusak terdapat larva,"**(Penyebab: Hypothenemus hampei)**

Langkah Penanganan:
Perangkap serangga, insektisida nabati"
Bercak Ungu (Bawang Merah),bawang merah daun bercak ungu kecoklatan,"**(Penyebab: Alternaria porri)**

Langkah Penanganan:
Pangkas daun sakit, rotasi tanaman, dan semprot fungisida"
Busuk Daun (Bawang Merah),bawang merah daun layu dan membusuk,"**(Penyebab: Peronospora destructor)**

Langkah Penanganan:
Kurangi kelembapan, atur jarak tanam, dan gunakan fungisida"
Layu Fusarium (Bawang Merah),bawang merah tanaman layu permanen,"**(Penyebab: Fusarium oxysporum)**

Langkah Penanganan:
Gunakan varietas tahan, rotasi tanaman, dan aplikasikan fungisida tanah"
Busuk Leher (Bawang Merah),bawang merah umbi membusuk dari leher,"**(Penyebab: Botrytis alii)**

Langkah Penanganan:
Panen tepat waktu, keringkan umbi, dan simpan di tempat kering serta gunakan fungisida"
Ulat Grayak (Bawang Putih),bawang putih daun rusak dimakan ulat,"**(Penyebab: Spodoptera exigua)**

Langkah Penanganan:
Gunakan insektisida biologis, perangkap feromon, dan monitoring rutin"
Kutu Daun (Bawang Putih),bawang purih daun keriting dan lemah,"**(Penyebab: Myzus persicae)**

Langkah Penanganan:
Gunakan insektisida selektif, musuh alami, dan semprot sabun insektisida"
Thrips (Bawang Putih),bawang putih daun mengering dan belang,"**(Penyebab: Thrips tabaci)**

Langkah Penanganan:
Gunakan mulsa perak, sanitasi lahan, dan insektisida selektif"
Daun Bakteri (Bayam),bayam daun bakteri bercak daun akibat xanthomonas bercak menyebar permukaan daun rusak,"**(Penyebab: Bakteri Xanthomonas spp.)**

Langkah Penanganan:
Sanitasi tanaman, penggunaan benih sehat, dan penyemprotan bakterisida"
Bercak Daun Cercospora (Bayam),bayam cercospora bercak daun hijau bercak kecil pertumbuhan terhambat khas jamur,"**(Penyebab: Jamur Cercospora beticola)**

Langkah Penanganan:
Rotasi tanaman, fungisida, dan sanitasi lahan"
Embun Tepung (Bayam),bayam embun tepung daun kuning batang membusuk lapisan jamur erisiphe,"**(Penyebab: Jamur Erysiphe spp.)**

Langkah Penanganan:
Penyemprotan fungisida dan menjaga sirkulasi udara"
Bercak Daun Cercospora (Bayam),bayam cercospora daun kuning pertumbuhan lambat bercak khas menyebar,"**(Penyebab: Jamur Cercospora beticola)**

Langkah Penanganan:
Fungisida dan sanitasi"
Busuk Akar (Bayam),bayam busuk akar daun kuning batang busuk akibat pythium akar rusak,"**(Penyebab: Jamur tanah Pythium spp.)**

Langkah Penanganan:
Perbaiki drainase dan gunakan fungisida tanah"
Bawang Putih Daun Keriting Dan Lemah (Bayam),bayam fusarium layu bercak daun layu progresif dari akar ke daun,"**(Penyebab: Jamur tanah Fusarium oxysporum)**

Langkah Penanganan:
Rotasi tanaman dan gunakan fungisida"
Busuk Lunak (Bayam),bayam busuk lunak daun kuning layu pertumbuhan terhambat jaringan membusuk,"**(Penyebab: Bakteri pembusuk jaringan)**

Langkah Penanganan:
Sanitasi kebun"
Bercak Daun Cercospora (Bayam),bayam cercospora bercak daun layu batang busuk infeksi jamur lanjut,"**(Penyebab: jamur Cercospora beticola)**

Langkah Penanganan:
sanitasi daun sakit, rotasi tanaman, menjaga kelembapan, fungisida"
Busuk Akar Phytophthora (Bayam),bayam phytophthora akar busuk daun hijau bercak pertumbuhan terhambat,"**(Penyebab: jamur air Phytophthora spp.)**

Langkah Penanganan:
perbaikan drainase tanah, rotasi tanaman, sanitasi kebun, fungisida"
Busuk Lunak (Bayam),bayam busuk lunak bercak daun kuning pertumbuhan lambat bakteri pectobacterium,"**(Penyebab: bakteri Pectobacterium carotovorum)**

Langkah Penanganan:
sanitasi kebun, penggunaan benih sehat, pengaturan kelembapan, bakterisida"
Busuk Lunak (Bayam),bayam busuk lunak parah daun kuning layu batang busuk jaringan hancur,"**(Penyebab: bakteri Pectobacterium carotovorum)**

Langkah Penanganan:
sanitasi kebun, penggunaan bibit sehat, pengaturan kelembapan, bakterisida"
Bercak Daun Cercospora (Bayam),bayam cercospora daun kuning batang busuk infeksi berat bercak meluas,"**(Penyebab: jamur Cercospora beticola)**

Langkah Penanganan:
sanitasi daun sakit, rotasi tanaman, varietas tahan, fungisida"
Layu Bakteri (Bayam),bayam layu bakteri bercak daun layu cepat akibat ralstonia,"**(Penyebab: bakteri Ralstonia solanacearum)**

Langkah Penanganan:
bibit sehat, sanitasi lahan, rotasi tanaman, bakterisida"
Busuk Lunak (Bayam),bayam busuk lunak daun hijau bercak layu batang busuk bakteri aktif,"**(Penyebab: bakteri Pectobacterium carotovorum)**

Langkah Penanganan:
sanitasi kebun, pengaturan kelembapan, bibit sehat, bakterisida"
Cabai Daun Rusak Dan Mengeriting (Bayam),bayam fusarium daun hijau bercak batang busuk pertumbuhan terhambat kronis,"**(Penyebab: Jamur Fusarium oxysporum)**

Langkah Penanganan:
Rotasi tanaman, sanitasi lahan, fungisida"
Busuk Buah Botrytis (Bayam),bayam botrytis busuk batang daun hijau pertumbuhan lambat jamur abu abu,"**(Penyebab: Jamur Botrytis cinerea)**

Langkah Penanganan:
Sanitasi tanaman, fungisida"
Embun Tepung (Bayam),bayam embun tepung lanjut daun layu batang busuk pertumbuhan terhambat,"**(Penyebab: Jamur Erysiphe spp.)**

Langkah Penanganan:
sanitasi daun sakit, pengurangan kelembaban, fungisida sulfur"
Ulat Grayak (Bayam),bayam daun berlubang,"**(Penyebab: Spodoptera exigua)**

Langkah Penanganan:
Gunakan insektisida biologis, lakukan pengendalian manual, dan monitoring"
Pengorok Daun (Bayam),bayam daun berlorong seperti goresan,"**(Penyebab: Liriomyza huidobrensis)**

Langkah Penanganan:
Gunakan perangkap kuning, musuh alami, dan insektisida selektif"
Lalat Buah (Belimbing),belimbing buah busuk dan berlubang,"**(Penyebab: Bactrocera sp.)**

Langkah Penanganan:
Bungkus buah sejak muda, gunakan perangkap metil eugenol, kumpulkan dan musnahkan buah terserang, serta aplikasikan insektisida bila diperlukan"
Damping-Off (Rebah Semai) (Bibit Tanaman Muda), batang bibit muda membusuk di permukaan tanah dan tumbang.,"**(Penyebab: Batang membusuk dan tumbang)**

Langkah Penanganan:
Jaga kelembapan tanah agar tidak terlalu basah (drainase baik), gunakan media semai steril."
Busuk Akar Phytophthora (Cabai),cabai terdapat bercak pada daun daun mengalami kelayuan pertumbuhan tanaman terhambat,"**(Penyebab: Jamur Phytophthora capsici)**

Langkah Penanganan:
Rotasi tanaman, drainase baik, dan fungisida"
Busuk Akar Phytophthora (Cabai),cabai daun tetap hijau terdapat bercak pada daun daun mengalami kelayuan batang mengalami pembusukan pertumbuhan tanaman terhambat,"**(Penyebab: Jamur Phytophthora capsici)**

Langkah Penanganan:
Drainase tanah baik dan fungisida"
Layu Fusarium (Cabai),cabai daun berwarna kuning terdapat bercak pada daun daun mengalami kelayuan batang mengalami pembusukan,"**(Penyebab: Jamur Fusarium oxysporum)**

Langkah Penanganan:
Gunakan varietas tahan dan rotasi tanaman"
Busuk Akar Phytophthora (Cabai),cabai daun tetap hijau pertumbuhan tanaman terhambat,"**(Penyebab: jamur air Phytophthora capsici)**

Langkah Penanganan:
perbaikan drainase tanah, penggunaan mulsa, rotasi tanaman, fungisida"
Busuk Lunak (Cabai),cabai terdapat bercak pada daun batang mengalami pembusukan pertumbuhan tanaman terhambat,"**(Penyebab: bakteri Pectobacterium carotovorum)**

Langkah Penanganan:
sanitasi kebun, pengaturan kelembapan, penggunaan bibit sehat, bakterisida"
Antraknosa (Cabai),cabai daun tetap hijau terdapat bercak pada daun batang mengalami pembusukan pertumbuhan tanaman terhambat,"**(Penyebab: jamur Colletotrichum capsici)**

Langkah Penanganan:
sanitasi buah sakit, rotasi tanaman, fungisida"
Busuk Buah Botrytis (Cabai),cabai daun berwarna kuning terdapat bercak pada daun daun mengalami kelayuan pertumbuhan tanaman terhambat,"**(Penyebab: Jamur Botrytis cinerea)**

Langkah Penanganan:
Sanitasi buah sakit, pengaturan kelembapan, fungisida"
Antraknosa (Cabai),cabai terdapat bercak pada daun daun mengalami kelayuan,"**(Penyebab: Jamur Colletotrichum capsici)**

Langkah Penanganan:
Sanitasi buah sakit, rotasi tanaman, fungisida"
Busuk Lunak (Cabai),cabai daun mengalami kelayuan batang mengalami pembusukan pertumbuhan tanaman terhambat,"**(Penyebab: Bakteri Erwinia carotovora)**

Langkah Penanganan:
Drainase baik, sanitasi tanaman, bakterisida"
Antraknosa (Cabai),cabai daun mengalami kelayuan batang mengalami pembusukan,"**(Penyebab: Jamur Colletotrichum capsici)**

Langkah Penanganan:
Sanitasi buah sakit, fungisida"
Busuk Buah Botrytis (Cabai),cabai daun berwarna kuning terdapat bercak pada daun daun mengalami kelayuan pertumbuhan tanaman terhambat,"**(Penyebab: Jamur Botrytis cinerea)**

Langkah Penanganan:
Sanitasi buah sakit, fungisida"
Busuk Akar Phytophthora (Cabai),cabai terdapat bercak pada daun daun mengalami kelayuan batang mengalami pembusukan,"**(Penyebab: Jamur Phytophthora capsici)**

Langkah Penanganan:
drainase baik, mulsa plastik, rotasi tanaman, fungisida metalaksil"
Karat Daun (Cabai),cabai daun tetap hijau terdapat bercak pada daun pertumbuhan tanaman terhambat,"**(Penyebab: Jamur Puccinia spp.)**

Langkah Penanganan:
sanitasi daun sakit, pengaturan jarak tanam, fungisida mankozeb"
Blas (Cabai),cabai daun bercak coklat berbentuk belah ketupat,"**(Penyebab: Jamur Magnaporthe oryzae)**

Langkah Penanganan:
Gunakan varietas tahan, fungisida, perbaikan drainase"
Wereng Batang Coklat (Cabai),cabai daun menguning lalu mengering,"**(Penyebab: Nilaparvata lugens)**

Langkah Penanganan:
Gunakan insektisida selektif, varietas tahan"
Ulat Grayak (Cabai),cabai daun berlubang tidak beraturan,"**(Penyebab: Spodoptera litura)**

Langkah Penanganan:
Gunakan insektisida biologis, perangkap feromon"
Thrips (Cabai),cabai daun muda bercak keperakan berubah coklat tembaga mengeriting tanaman kerdil pucuk mati,"**(Penyebab: Thrips parvispinus)**

Langkah Penanganan:
Mulsa perak, sanitasi tanaman, perangkap kuning, musuh alami (Coccinellidae, Chrysopidae), insektisida selektif bila ambang tercapai"
Antraknosa (Cabai),cabai buah muncul bercak hitam cekung,"**(Penyebab: Colletotrichum capsici)**

Langkah Penanganan:
Fungisida, panen cepat, rotasi tanaman"
Kacang Tanah Daun Berkarat (Cabai),cabai buah coklat kehitaman busuk lembek,"**(Penyebab: Phytophthora palmivora)**

Langkah Penanganan:
Pangkas buah sakit, fungisida, drainase baik"
Karat Daun (Cabai),cabai daun bercak kuning oranye,"**(Penyebab: Hemileia vastatrix)**

Langkah Penanganan:
Fungisida tembaga, pangkas daun sakit"
Virus Kuning (Cabai),cabai daun keriting kerdil berubah kuning,"**(Penyebab: Virus Gemini via kutu kebul)**

Langkah Penanganan:
Kendalikan kutu kebul, varietas tahan"
Busuk Akar (Cabai),cabai akar membusuk tanaman layu mendadak,"**(Penyebab: Phytophthora spp.)**

Langkah Penanganan:
Perbaiki drainase, fungisida tanah"
Penggerek Buah (Cabai),cabai buah berlubang kecil biji rusak,"**(Penyebab: Hypothenemus hampei)**

Langkah Penanganan:
Perangkap serangga, insektisida nabati"
Antraknosa (Cabai),cabai buah bercak hitam cekung,"**(Penyebab: Colletotrichum capsici)**

Langkah Penanganan:
Petik dan musnahkan buah sakit, jaga kelembapan tidak terlalu tinggi, rotasi tanaman, dan semprot fungisida mankozeb atau klorotalonil"
Bercak Daun (Cabai),cabai daun bercak coklat,"**(Penyebab: Cercospora capsici)**

Langkah Penanganan:
Pangkas daun terinfeksi, sanitasi lahan, dan semprot fungisida secara rutin"
Busuk Buah (Cabai),cabai buah membusuk berair,"**(Penyebab: Phytophthora capsici)**

Langkah Penanganan:
Perbaiki drainase, hindari genangan air, gunakan mulsa, dan aplikasikan fungisida sistemik seperti metalaksil"
Kutu Daun (Cabai),cabai daun keriting dan kerdil,"**(Penyebab: Myzus persicae)**

Langkah Penanganan:
Gunakan insektisida selektif, manfaatkan musuh alami, dan semprot larutan sabun insektisida"
Thrips (Cabai),cabai daun rusak dan mengeriting,"**(Penyebab: Thrips parvispinus)**

Langkah Penanganan:
Gunakan mulsa perak, pasang perangkap kuning, dan aplikasikan insektisida selektif bila populasi tinggi"
Kutu Kebul (Cabai),cabai daun menguning,"**(Penyebab: Bemisia tabaci)**

Langkah Penanganan:
Gunakan perangkap kuning, tanam varietas tahan, dan semprot insektisida selektif"
Ulat Buah (Cabai),cabai buah berlubang,"**(Penyebab: Helicoverpa armigera)**

Langkah Penanganan:
Kumpulkan ulat secara manual, gunakan perangkap feromon, dan aplikasikan insektisida biologis"
Mosaic Virus (Virus Mosaik) (Cabai),"cabai daun belang-belang hijau muda/tua, mengeriting, tanaman kerdil.","**(Penyebab: Daun belang, mengeriting, tanaman kerdil)**

Langkah Penanganan:
Kendalikan vektor (kutu daun/aphids) dengan insektisida. Cabut dan bakar tanaman yang terinfeksi."
Fusarium Wilt (Layu Fusarium) (Cabai),"cabai tanaman layu cepat (sering satu sisi), jaringan vaskular coklat di dalam batang.","**(Penyebab: Layu cepat, pembuluh coklat)**

Langkah Penanganan:
Rotasi tanaman, tingkatkan pH tanah, gunakan varietas tahan, gunakan agens hayati Trichoderma."
Ulat Buah (Cengkeh),cengkeh buah rusak dan berlubang,"**(Penyebab: Helicoverpa armigera)**

Langkah Penanganan:
Lakukan monitoring rutin, gunakan perangkap feromon, dan semprot insektisida bila serangan tinggi"
Antraknosa (Duku),duku bercak pada daun/buah,"**(Penyebab: Colletotrichum sp.)**

Langkah Penanganan:
Pangkas bagian terinfeksi, sanitasi kebun, dan semprot fungisida"
Kanker Batang (Durian),durian batang luka dan membusuk,"**(Penyebab: Phytophthora palmivora)**

Langkah Penanganan:
Bersihkan luka batang, oles fungisida, perbaiki drainase, dan hindari kelembapan tinggi"
Busuk Akar (Jagung),jagung terdapat bercak pada daun daun mengalami kelayuan pertumbuhan tanaman terhambat,"**(Penyebab: Jamur Rhizoctonia solani)**

Langkah Penanganan:
Drainase tanah baik"
Embun Tepung (Jagung),jagung daun tetap hijau batang mengalami pembusukan pertumbuhan tanaman terhambat,"**(Penyebab: Jamur Erysiphe spp.)**

Langkah Penanganan:
Fungisida sulfur"
Busuk Buah Botrytis (Jagung),jagung daun tetap hijau terdapat bercak pada daun daun mengalami kelayuan,"**(Penyebab: Jamur Botrytis cinerea)**

Langkah Penanganan:
Gunakan fungisida, sanitasi kebun, kurangi kelembapan"
Jamur Upas (Jagung),jagung terdapat bercak pada daun daun mengalami kelayuan pertumbuhan tanaman terhambat,"**(Penyebab: Jamur patogen batang)**

Langkah Penanganan:
Sanitasi kebun dan penggunaan fungisida"
Karat Daun (Jagung),jagung daun berwarna kuning daun mengalami kelayuan batang mengalami pembusukan,"**(Penyebab: jamur Puccinia sorghi)**

Langkah Penanganan:
varietas tahan, rotasi tanaman, sanitasi kebun, fungisida"
Embun Tepung (Jagung),jagung terdapat bercak pada daun daun mengalami kelayuan batang mengalami pembusukan pertumbuhan tanaman terhambat,"**(Penyebab: jamur Erysiphe spp.)**

Langkah Penanganan:
menjaga sirkulasi udara, rotasi tanaman, sanitasi kebun, fungisida"
Busuk Hitam (Jagung),jagung daun tetap hijau terdapat bercak pada daun daun mengalami kelayuan batang mengalami pembusukan,"**(Penyebab: jamur Alternaria spp.)**

Langkah Penanganan:
sanitasi tanaman, rotasi tanaman, varietas tahan, fungisida"
Busuk Akar (Jagung),jagung daun tetap hijau terdapat bercak pada daun daun mengalami kelayuan batang mengalami pembusukan pertumbuhan tanaman terhambat,"**(Penyebab: jamur Rhizoctonia solani)**

Langkah Penanganan:
rotasi tanaman, drainase baik, sanitasi lahan, fungisida"
Busuk Akar Phytophthora (Jagung),jagung daun berwarna coklat,"**(Penyebab: jamur air Phytophthora spp.)**

Langkah Penanganan:
drainase baik, rotasi tanaman, sanitasi lahan, fungisida"
Busuk Buah Botrytis (Jagung),jagung daun tetap hijau terdapat bercak pada daun daun mengalami kelayuan pertumbuhan tanaman terhambat,"**(Penyebab: jamur Botrytis cinerea)**

Langkah Penanganan:
sanitasi tanaman, rotasi tanaman, fungisida"
Karat Daun (Jagung),jagung daun tetap hijau terdapat bercak pada daun batang mengalami pembusukan,"**(Penyebab: jamur Puccinia sorghi)**

Langkah Penanganan:
varietas tahan, sanitasi lahan, fungisida"
Layu Fusarium (Jagung),jagung terdapat bercak pada daun daun mengalami kelayuan,"**(Penyebab: jamur Fusarium verticillioides)**

Langkah Penanganan:
rotasi tanaman, benih sehat, fungisida"
Embun Tepung (Jagung),jagung daun tetap hijau terdapat bercak pada daun daun mengalami kelayuan batang mengalami pembusukan,"**(Penyebab: Jamur Erysiphe spp.)**

Langkah Penanganan:
Gunakan varietas tahan, sanitasi lahan, pengaturan jarak tanam, aplikasi fungisida"
Layu Bakteri (Jagung),jagung daun berwarna kuning terdapat bercak pada daun daun mengalami kelayuan pertumbuhan tanaman terhambat,"**(Penyebab: Bakteri Erwinia spp.)**

Langkah Penanganan:
Gunakan benih sehat, rotasi tanaman, sanitasi lahan, pengendalian vektor"
Layu Fusarium (Jagung),jagung daun berwarna kuning terdapat bercak pada daun daun mengalami kelayuan batang mengalami pembusukan,"**(Penyebab: Jamur Fusarium verticillioides)**

Langkah Penanganan:
Rotasi tanaman, benih sehat, fungisida"
Busuk Lunak (Jagung),jagung daun berwarna kuning terdapat bercak pada daun batang mengalami pembusukan pertumbuhan tanaman terhambat,"**(Penyebab: Bakteri Erwinia spp.)**

Langkah Penanganan:
Drainase baik, sanitasi tanaman, bakterisida"
Embun Tepung (Jagung),jagung daun tetap hijau terdapat bercak pada daun daun mengalami kelayuan batang mengalami pembusukan,"**(Penyebab: Jamur Erysiphe spp.)**

Langkah Penanganan:
Varietas tahan, fungisida"
Layu Bakteri (Jagung),jagung daun berwarna kuning terdapat bercak pada daun daun mengalami kelayuan pertumbuhan tanaman terhambat,"**(Penyebab: Bakteri Erwinia spp.)**

Langkah Penanganan:
Benih sehat, sanitasi lahan"
Layu Fusarium (Jagung),jagung daun berwarna kuning terdapat bercak pada daun pertumbuhan tanaman terhambat,"**(Penyebab: Jamur Fusarium verticillioides)**

Langkah Penanganan:
rotasi tanaman, varietas tahan, pengolahan tanah baik, agen hayati Trichoderma, fungisida benomil atau mankozeb"
Embun Tepung (Jagung),jagung daun tetap hijau terdapat bercak pada daun pertumbuhan tanaman terhambat,"**(Penyebab: Jamur Erysiphe spp.)**

Langkah Penanganan:
varietas tahan, pengurangan kelembaban, fungisida sulfur"
Blas (Jagung),jagung daun bercak coklat berbentuk belah ketupat,"**(Penyebab: Jamur Magnaporthe oryzae)**

Langkah Penanganan:
Gunakan varietas tahan, fungisida, perbaikan drainase"
Wereng Batang Coklat (Jagung),jagung daun menguning lalu mengering,"**(Penyebab: Nilaparvata lugens)**

Langkah Penanganan:
Gunakan insektisida selektif, varietas tahan"
Ulat Grayak (Jagung),jagung daun berlubang tidak beraturan,"**(Penyebab: Spodoptera litura)**

Langkah Penanganan:
Gunakan insektisida biologis, perangkap feromon"
Layu Fusarium (Jagung),jagung daun layu dari bawah ke atas,"**(Penyebab: Fusarium oxysporum)**

Langkah Penanganan:
Solarisasi tanah, fungisida, varietas tahan"
Antraknosa (Jagung),jagung buah muncul bercak hitam cekung,"**(Penyebab: Colletotrichum capsici)**

Langkah Penanganan:
Fungisida, panen cepat, rotasi tanaman"
Busuk Buah (Jagung),jagung buah coklat kehitaman busuk lembek,"**(Penyebab: Phytophthora palmivora)**

Langkah Penanganan:
Pangkas buah sakit, fungisida, drainase baik"
Karat Daun (Jagung),jagung daun bercak kuning oranye,"**(Penyebab: Hemileia vastatrix)**

Langkah Penanganan:
Fungisida tembaga, pangkas daun sakit"
Virus Kuning (Jagung),jagung daun keriting kerdil berubah kuning,"**(Penyebab: Virus Gemini via kutu kebul)**

Langkah Penanganan:
Kendalikan kutu kebul, varietas tahan"
Busuk Akar (Jagung),jagung akar membusuk tanaman layu mendadak,"**(Penyebab: Phytophthora spp.)**

Langkah Penanganan:
Perbaiki drainase, fungisida tanah"
Penggerek Buah (Jagung),jagung buah berlubang kecil biji rusak,"**(Penyebab: Hypothenemus hampei)**

Langkah Penanganan:
Perangkap serangga, insektisida nabati"
Bulai (Jagung),jagung daun belang putih,"**(Penyebab: Peronosclerospora maydis)**

Langkah Penanganan:
Gunakan benih tahan, cabut tanaman sakit, dan aplikasikan fungisida"
Hawar Daun (Jagung),jagung daun mengering dari ujung,"**(Penyebab: Helminthosporium turcicum)**

Langkah Penanganan:
Rotasi tanaman, sanitasi lahan, dan semprot fungisida"
Belalang (Jagung),jagung daun dimakan habis,"**(Penyebab: Locusta migratoria)**

Langkah Penanganan:
Pengendalian manual, gunakan insektisida, dan monitoring populasi"
Ulat Grayak (Jagung),jagung daun rusak parah,"**(Penyebab: Spodoptera litura)**

Langkah Penanganan:
Gunakan insektisida biologis, lakukan pengamatan rutin, dan kendalikan sejak dini"
Blas (Jeruk),jeruk daun bercak coklat berbentuk belah ketupat,"**(Penyebab: Jamur Magnaporthe oryzae)**

Langkah Penanganan:
Gunakan varietas tahan, fungisida, perbaikan drainase"
Wereng Batang Coklat (Jeruk),jeruk daun menguning lalu mengering,"**(Penyebab: Nilaparvata lugens)**

Langkah Penanganan:
Gunakan insektisida selektif, varietas tahan"
Ulat Grayak (Jeruk),jeruk daun berlubang tidak beraturan,"**(Penyebab: Spodoptera litura)**

Langkah Penanganan:
Gunakan insektisida biologis, perangkap feromon"
Layu Fusarium (Jeruk),jeruk daun layu dari bawah ke atas,"**(Penyebab: Fusarium oxysporum)**

Langkah Penanganan:
Solarisasi tanah, fungisida, varietas tahan"
Antraknosa (Jeruk),jeruk buah muncul bercak hitam cekung,"**(Penyebab: Colletotrichum capsici)**

Langkah Penanganan:
Fungisida, panen cepat, rotasi tanaman"
Busuk Buah (Jeruk),jeruk buah coklat kehitaman busuk lembek,"**(Penyebab: Phytophthora palmivora)**

Langkah Penanganan:
Pangkas buah sakit, fungisida, drainase baik"
Karat Daun (Jeruk),jeruk daun bercak kuning oranye,"**(Penyebab: Hemileia vastatrix)**

Langkah Penanganan:
Fungisida tembaga, pangkas daun sakit"
Virus Kuning (Jeruk),jeruk daun keriting kerdil berubah kuning,"**(Penyebab: Virus Gemini via kutu kebul)**

Langkah Penanganan:
Kendalikan kutu kebul, varietas tahan"
Busuk Akar (Jeruk),jeruk akar membusuk tanaman layu mendadak,"**(Penyebab: Phytophthora spp.)**

Langkah Penanganan:
Perbaiki drainase, fungisida tanah"
Penggerek Buah (Jeruk),jeruk buah berlubang kecil biji rusak,"**(Penyebab: Hypothenemus hampei)**

Langkah Penanganan:
Perangkap serangga, insektisida nabati"
Kutu Daun (Jeruk),jeruk daun keriting,"**(Penyebab: Aphis sp.)**

Langkah Penanganan:
Gunakan insektisida selektif, manfaatkan musuh alami, dan semprot sabun insektisida"
