sumber_data;nama_tanaman;jenis_hama_penyakit_tanaman;gejala;Organisme Penyebab;solusi
kaggle;Bayam;Bercak Daun Cercospora;Daun berwarna kuning, Pertumbuhan tanaman terhambat;Jamur Cercospora beticola;Fungisida dan sanitasi
kaggle;Bayam;Busuk Akar;Daun berwarna kuning, Batang mengalami pembusukan, Pertumbuhan tanaman terhambat;Jamur tanah Pythium spp.;Perbaiki drainase dan gunakan fungisida tanah
kaggle;Bayam;Layu Fusarium;Terdapat bercak pada daun, Daun mengalami kelayuan;Jamur tanah Fusarium oxysporum;Rotasi tanaman dan gunakan fungisida
kaggle;Bayam;Busuk Lunak;Daun berwarna kuning, Daun mengalami kelayuan, Pertumbuhan tanaman terhambat;Bakteri pembusuk jaringan;Sanitasi kebun
kaggle;Bayam;Bercak Daun Cercospora;Terdapat bercak pada daun, Daun mengalami kelayuan, Batang mengalami pembusukan;jamur Cercospora beticola;sanitasi daun sakit, rotasi tanaman, menjaga kelembapan, fungisida
kaggle;Bayam;Busuk Akar Phytophthora;Daun tetap hijau, Terdapat bercak pada daun, Pertumbuhan tanaman terhambat;jamur air Phytophthora spp.;perbaikan drainase tanah, rotasi tanaman, sanitasi kebun, fungisida
kaggle;Bayam;Busuk Lunak;Daun berwarna kuning, Terdapat bercak pada daun, Pertumbuhan tanaman terhambat;bakteri Pectobacterium carotovorum;sanitasi kebun, penggunaan benih sehat, pengaturan kelembapan, bakterisida
kaggle;Bayam;Busuk Lunak;Daun berwarna kuning, Daun mengalami kelayuan, Batang mengalami pembusukan, Pertumbuhan tanaman terhambat;bakteri Pectobacterium carotovorum;sanitasi kebun, penggunaan bibit sehat, pengaturan kelembapan, bakterisida
kaggle;Bayam;Bercak Daun Cercospora;Daun berwarna kuning, Batang mengalami pembusukan;jamur Cercospora beticola;sanitasi daun sakit, rotasi tanaman, varietas tahan, fungisida
kaggle;Bayam;Layu Bakteri;Terdapat bercak pada daun, Daun mengalami kelayuan;bakteri Ralstonia solanacearum;bibit sehat, sanitasi lahan, rotasi tanaman, bakterisida
kaggle;Bayam;Busuk Lunak;Daun tetap hijau, Terdapat bercak pada daun, Daun mengalami kelayuan, Batang mengalami pembusukan;bakteri Pectobacterium carotovorum;sanitasi kebun, pengaturan kelembapan, bibit sehat, bakterisida
kaggle;Bayam;Layu Fusarium;Daun tetap hijau, Terdapat bercak pada daun, Batang mengalami pembusukan, Pertumbuhan tanaman terhambat;Jamur Fusarium oxysporum;Rotasi tanaman, sanitasi lahan, fungisida
kaggle;Bayam;Busuk Buah Botrytis;Daun tetap hijau, Batang mengalami pembusukan, Pertumbuhan tanaman terhambat;Jamur Botrytis cinerea;Sanitasi tanaman, fungisida
kaggle;Bayam;Embun Tepung;Daun tetap hijau, Daun mengalami kelayuan, Batang mengalami pembusukan, Pertumbuhan tanaman terhambat;Jamur Erysiphe spp.;sanitasi daun sakit, pengurangan kelembaban, fungisida sulfur
kaggle;Cabai;Busuk Akar Phytophthora;Terdapat bercak pada daun, Daun mengalami kelayuan, Pertumbuhan tanaman terhambat;Jamur Phytophthora capsici;Rotasi tanaman, drainase baik, dan fungisida
kaggle;Cabai;Busuk Akar Phytophthora;Daun tetap hijau, Terdapat bercak pada daun, Daun mengalami kelayuan, Batang mengalami pembusukan, Pertumbuhan tanaman terhambat;Jamur Phytophthora capsici;Drainase tanah baik dan fungisida
kaggle;Cabai;Layu Fusarium;Daun berwarna kuning, Terdapat bercak pada daun, Daun mengalami kelayuan, Batang mengalami pembusukan;Jamur Fusarium oxysporum;Gunakan varietas tahan dan rotasi tanaman
kaggle;Cabai;Busuk Akar Phytophthora;Daun tetap hijau, Pertumbuhan tanaman terhambat;jamur air Phytophthora capsici;perbaikan drainase tanah, penggunaan mulsa, rotasi tanaman, fungisida
kaggle;Cabai;Busuk Lunak;Terdapat bercak pada daun, Batang mengalami pembusukan, Pertumbuhan tanaman terhambat;bakteri Pectobacterium carotovorum;sanitasi kebun, pengaturan kelembapan, penggunaan bibit sehat, bakterisida
kaggle;Cabai;Antraknosa;Daun tetap hijau, Terdapat bercak pada daun, Batang mengalami pembusukan, Pertumbuhan tanaman terhambat;jamur Colletotrichum capsici;sanitasi buah sakit, rotasi tanaman, fungisida
kaggle;Cabai;Busuk Buah Botrytis;Daun berwarna kuning, Terdapat bercak pada daun, Daun mengalami kelayuan, Pertumbuhan tanaman terhambat;Jamur Botrytis cinerea;Sanitasi buah sakit, pengaturan kelembapan, fungisida
kaggle;Cabai;Antraknosa;Terdapat bercak pada daun, Daun mengalami kelayuan;Jamur Colletotrichum capsici;Sanitasi buah sakit, rotasi tanaman, fungisida
kaggle;Cabai;Busuk Lunak;Daun mengalami kelayuan, Batang mengalami pembusukan, Pertumbuhan tanaman terhambat;Bakteri Erwinia carotovora;Drainase baik, sanitasi tanaman, bakterisida
kaggle;Cabai;Antraknosa;Daun mengalami kelayuan, Batang mengalami pembusukan;Jamur Colletotrichum capsici;Sanitasi buah sakit, fungisida
kaggle;Cabai;Busuk Buah Botrytis;Daun berwarna kuning, Terdapat bercak pada daun, Daun mengalami kelayuan, Pertumbuhan tanaman terhambat;Jamur Botrytis cinerea;Sanitasi buah sakit, fungisida
kaggle;Cabai;Busuk Akar Phytophthora;Terdapat bercak pada daun, Daun mengalami kelayuan, Batang mengalami pembusukan;Jamur Phytophthora capsici;drainase baik, mulsa plastik, rotasi tanaman, fungisida metalaksil
kaggle;Cabai;Karat Daun;Daun tetap hijau, Terdapat bercak pada daun, Pertumbuhan tanaman terhambat;Jamur Puccinia spp.;sanitasi daun sakit, pengaturan jarak tanam, fungisida mankozeb
manual;Cabai;Blas;Daun bercak coklat berbentuk belah ketupat;Jamur Magnaporthe oryzae;Gunakan varietas tahan, fungisida, perbaikan drainase
manual;Cabai;Wereng Batang Coklat;Daun menguning lalu mengering;Nilaparvata lugens;Gunakan insektisida selektif, varietas tahan
manual;Cabai;Ulat Grayak;Daun berlubang tidak beraturan;Spodoptera litura;Gunakan insektisida biologis, perangkap feromon
manual;Cabai;Thrips;Daun muda bercak keperakan, berubah coklat tembaga, mengeriting, tanaman kerdil, pucuk mati;Thrips parvispinus;Mulsa perak, sanitasi tanaman, perangkap kuning, musuh alami (Coccinellidae, Chrysopidae), insektisida selektif bila ambang tercapai
manual;Cabai;Antraknosa;Buah muncul bercak hitam cekung;Colletotrichum capsici;Fungisida, panen cepat, rotasi tanaman
manual;Cabai;Busuk Buah;Buah coklat kehitaman, busuk lembek;Phytophthora palmivora;Pangkas buah sakit, fungisida, drainase baik
manual;Cabai;Karat Daun;Daun bercak kuning-oranye;Hemileia vastatrix;Fungisida tembaga, pangkas daun sakit
manual;Cabai;Virus Kuning;Daun keriting, kerdil, berubah kuning;Virus Gemini via kutu kebul;Kendalikan kutu kebul, varietas tahan
manual;Cabai;Busuk Akar;Akar membusuk, tanaman layu mendadak;Phytophthora spp.;Perbaiki drainase, fungisida tanah
manual;Cabai;Penggerek Buah;Buah berlubang kecil, biji rusak;Hypothenemus hampei;Perangkap serangga, insektisida nabati
kaggle;Jagung;Busuk Akar;Terdapat bercak pada daun, Daun mengalami kelayuan, Pertumbuhan tanaman terhambat;Jamur Rhizoctonia solani;Drainase tanah baik
kaggle;Jagung;Embun Tepung;Daun tetap hijau, Batang mengalami pembusukan, Pertumbuhan tanaman terhambat;Jamur Erysiphe spp.;Fungisida sulfur
kaggle;Jagung;Busuk Buah Botrytis;Daun tetap hijau, Terdapat bercak pada daun, Daun mengalami kelayuan;Jamur Botrytis cinerea;Gunakan fungisida, sanitasi kebun, kurangi kelembapan
kaggle;Jagung;Jamur Upas;Terdapat bercak pada daun, Daun mengalami kelayuan, Pertumbuhan tanaman terhambat;Jamur patogen batang;Sanitasi kebun dan penggunaan fungisida
kaggle;Jagung;Karat Daun;Daun berwarna kuning, Daun mengalami kelayuan, Batang mengalami pembusukan;jamur Puccinia sorghi;varietas tahan, rotasi tanaman, sanitasi kebun, fungisida
kaggle;Jagung;Embun Tepung;Terdapat bercak pada daun, Daun mengalami kelayuan, Batang mengalami pembusukan, Pertumbuhan tanaman terhambat;jamur Erysiphe spp.;menjaga sirkulasi udara, rotasi tanaman, sanitasi kebun, fungisida
kaggle;Jagung;Busuk Hitam;Daun tetap hijau, Terdapat bercak pada daun, Daun mengalami kelayuan, Batang mengalami pembusukan;jamur Alternaria spp.;sanitasi tanaman, rotasi tanaman, varietas tahan, fungisida
kaggle;Jagung;Busuk Akar;Daun tetap hijau, Terdapat bercak pada daun, Daun mengalami kelayuan, Batang mengalami pembusukan, Pertumbuhan tanaman terhambat;jamur Rhizoctonia solani;rotasi tanaman, drainase baik, sanitasi lahan, fungisida
kaggle;Jagung;Busuk Akar Phytophthora;Daun Berwarna coklat;jamur air Phytophthora spp.;drainase baik, rotasi tanaman, sanitasi lahan, fungisida
kaggle;Jagung;Busuk Buah Botrytis;Daun tetap hijau, Terdapat bercak pada daun, Daun mengalami kelayuan, Pertumbuhan tanaman terhambat;jamur Botrytis cinerea;sanitasi tanaman, rotasi tanaman, fungisida
kaggle;Jagung;Karat Daun;Daun tetap hijau, Terdapat bercak pada daun, Batang mengalami pembusukan;jamur Puccinia sorghi;varietas tahan, sanitasi lahan, fungisida
kaggle;Jagung;Layu Fusarium;Terdapat bercak pada daun, Daun mengalami kelayuan;jamur Fusarium verticillioides;rotasi tanaman, benih sehat, fungisida
kaggle;Jagung;Embun Tepung;Daun tetap hijau, Terdapat bercak pada daun, Daun mengalami kelayuan, Batang mengalami pembusukan;Jamur Erysiphe spp.;Gunakan varietas tahan, sanitasi lahan, pengaturan jarak tanam, aplikasi fungisida
kaggle;Jagung;Layu Bakteri;Daun berwarna kuning, Terdapat bercak pada daun, Daun mengalami kelayuan, Pertumbuhan tanaman terhambat;Bakteri Erwinia spp.;Gunakan benih sehat, rotasi tanaman, sanitasi lahan, pengendalian vektor
kaggle;Jagung;Layu Fusarium;Daun berwarna kuning, Terdapat bercak pada daun, Daun mengalami kelayuan, Batang mengalami pembusukan;Jamur Fusarium verticillioides;Rotasi tanaman, benih sehat, fungisida
kaggle;Jagung;Busuk Lunak;Daun berwarna kuning, Terdapat bercak pada daun, Batang mengalami pembusukan, Pertumbuhan tanaman terhambat;Bakteri Erwinia spp.;Drainase baik, sanitasi tanaman, bakterisida
kaggle;Jagung;Embun Tepung;Daun tetap hijau, Terdapat bercak pada daun, Daun mengalami kelayuan, Batang mengalami pembusukan;Jamur Erysiphe spp.;Varietas tahan, fungisida
kaggle;Jagung;Layu Bakteri;Daun berwarna kuning, Terdapat bercak pada daun, Daun mengalami kelayuan, Pertumbuhan tanaman terhambat;Bakteri Erwinia spp.;Benih sehat, sanitasi lahan
kaggle;Jagung;Layu Fusarium;Daun berwarna kuning, Terdapat bercak pada daun, Pertumbuhan tanaman terhambat;Jamur Fusarium verticillioides;rotasi tanaman, varietas tahan, pengolahan tanah baik, agen hayati Trichoderma, fungisida benomil atau mankozeb
kaggle;Jagung;Embun Tepung;Daun tetap hijau, Terdapat bercak pada daun, Pertumbuhan tanaman terhambat;Jamur Erysiphe spp.;varietas tahan, pengurangan kelembaban, fungisida sulfur
manual;Jagung;Blas;Daun bercak coklat berbentuk belah ketupat;Jamur Magnaporthe oryzae;Gunakan varietas tahan, fungisida, perbaikan drainase
manual;Jagung;Wereng Batang Coklat;Daun menguning lalu mengering;Nilaparvata lugens;Gunakan insektisida selektif, varietas tahan
manual;Jagung;Ulat Grayak;Daun berlubang tidak beraturan;Spodoptera litura;Gunakan insektisida biologis, perangkap feromon
manual;Jagung;Layu Fusarium;Daun layu dari bawah ke atas;Fusarium oxysporum;Solarisasi tanah, fungisida, varietas tahan
manual;Jagung;Antraknosa;Buah muncul bercak hitam cekung;Colletotrichum capsici;Fungisida, panen cepat, rotasi tanaman
manual;Jagung;Busuk Buah;Buah coklat kehitaman, busuk lembek;Phytophthora palmivora;Pangkas buah sakit, fungisida, drainase baik
manual;Jagung;Karat Daun;Daun bercak kuning-oranye;Hemileia vastatrix;Fungisida tembaga, pangkas daun sakit
manual;Jagung;Virus Kuning;Daun keriting, kerdil, berubah kuning;Virus Gemini via kutu kebul;Kendalikan kutu kebul, varietas tahan
manual;Jagung;Busuk Akar;Akar membusuk, tanaman layu mendadak;Phytophthora spp.;Perbaiki drainase, fungisida tanah
manual;Jagung;Penggerek Buah;Buah berlubang kecil, biji rusak;Hypothenemus hampei;Perangkap serangga, insektisida nabati
manual;Jeruk;Blas;Daun bercak coklat berbentuk belah ketupat;Jamur Magnaporthe oryzae;Gunakan varietas tahan, fungisida, perbaikan drainase
manual;Jeruk;Wereng Batang Coklat;Daun menguning lalu mengering;Nilaparvata lugens;Gunakan insektisida selektif, varietas tahan
manual;Jeruk;Ulat Grayak;Daun berlubang tidak beraturan;Spodoptera litura;Gunakan insektisida biologis, perangkap feromon
manual;Jeruk;Layu Fusarium;Daun layu dari bawah ke atas;Fusarium oxysporum;Solarisasi tanah, fungisida, varietas tahan
manual;Jeruk;Antraknosa;Buah muncul bercak hitam cekung;Colletotrichum capsici;Fungisida, panen cepat, rotasi tanaman
manual;Jeruk;Busuk Buah;Buah coklat kehitaman, busuk lembek;Phytophthora palmivora;Pangkas buah sakit, fungisida, drainase baik
manual;Jeruk;Karat Daun;Daun bercak kuning-oranye;Hemileia vastatrix;Fungisida tembaga, pangkas daun sakit
manual;Jeruk;Virus Kuning;Daun keriting, kerdil, berubah kuning;Virus Gemini via kutu kebul;Kendalikan kutu kebul, varietas tahan
manual;Jeruk;Busuk Akar;Akar membusuk, tanaman layu mendadak;Phytophthora spp.;Perbaiki drainase, fungisida tanah
manual;Jeruk;Penggerek Buah;Buah berlubang kecil, biji rusak;Hypothenemus hampei;Perangkap serangga, insektisida nabati
kaggle;Kacang Tanah;Antraknosa;Daun berwarna kuning, Terdapat bercak pada daun, Daun mengalami kelayuan, Batang mengalami pembusukan, Pertumbuhan tanaman terhambat;Jamur Colletotrichum gloeosporioides;Sanitasi kebun dan fungisida
kaggle;Kacang Tanah;Karat Daun;Daun tetap hijau, Terdapat bercak pada daun, Batang mengalami pembusukan, Pertumbuhan tanaman terhambat;Jamur Puccinia spp.;Pemangkasan daun sakit dan fungisida
kaggle;Kacang Tanah;Layu Fusarium;Daun berwarna kuning, Daun mengalami kelayuan;Jamur Fusarium oxysporum;Rotasi tanaman
kaggle;Kacang Tanah;Busuk Akar;Daun tetap hijau, Daun mengalami kelayuan, Batang mengalami pembusukan;Jamur tanah Rhizoctonia solani;Perbaiki drainase
kaggle;Kacang Tanah;Busuk Akar;Daun berwarna kuning, Terdapat bercak pada daun, Daun mengalami kelayuan, Batang mengalami pembusukan, Pertumbuhan tanaman terhambat;jamur Rhizoctonia solani;rotasi tanaman, sanitasi lahan, perbaikan drainase tanah, fungisida
kaggle;Kacang Tanah;Hawar Daun Bakteri;Pertumbuhan tanaman terhambat;bakteri Xanthomonas spp.;sanitasi kebun, penggunaan benih sehat, rotasi tanaman, bakterisida
kaggle;Kacang Tanah;Jamur Upas;Daun berwarna kuning, Daun mengalami kelayuan, Batang mengalami pembusukan, Pertumbuhan tanaman terhambat;jamur Upasia salmonicolor;pemangkasan bagian terinfeksi, sanitasi kebun, menjaga kelembapan, fungisida
kaggle;Kacang Tanah;Jamur Upas;Daun tetap hijau;jamur Upasia salmonicolor;pemangkasan bagian terinfeksi, sanitasi kebun, menjaga kelembapan, fungisida
kaggle;Kacang Tanah;Karat Daun;Daun tetap hijau, Daun mengalami kelayuan, Batang mengalami pembusukan;jamur Puccinia arachidis;rotasi tanaman, sanitasi kebun, varietas tahan, fungisida
kaggle;Kacang Tanah;Embun Tepung;Daun tetap hijau, Daun mengalami kelayuan, Batang mengalami pembusukan;jamur Erysiphe arachidis;sirkulasi udara baik, sanitasi kebun, varietas tahan, fungisida
kaggle;Kacang Tanah;Layu Fusarium;Daun tetap hijau, Terdapat bercak pada daun, Daun mengalami kelayuan;jamur Fusarium oxysporum;rotasi tanaman, benih sehat, sanitasi lahan, fungisida
kaggle;Kacang Tanah;Busuk Akar Phytophthora;Daun mengalami kelayuan;jamur air Phytophthora spp.;drainase baik, rotasi tanaman, sanitasi kebun, fungisida
kaggle;Kacang Tanah;Busuk Lunak;Daun mengalami kelayuan, Pertumbuhan tanaman terhambat;bakteri Pectobacterium carotovorum;sanitasi kebun, pengaturan kelembapan, bakterisida
kaggle;Kacang Tanah;Busuk Akar Phytophthora;Daun berwarna kuning, Daun mengalami kelayuan;jamur air Phytophthora spp.;drainase baik, rotasi tanaman, sanitasi lahan, fungisida
kaggle;Kacang Tanah;Busuk Hitam;Daun berwarna kuning;Jamur Aspergillus niger;Gunakan benih sehat, rotasi tanaman, sanitasi lahan
kaggle;Kacang Tanah;Karat Daun;Batang mengalami pembusukan;Jamur Puccinia arachidis;Varietas tahan, fungisida
kaggle;Kacang Tanah;Busuk Hitam;Daun mengalami kelayuan;Jamur Aspergillus niger;rotasi tanaman, penggunaan benih sehat, perbaikan drainase tanah, fungisida tembaga atau mankozeb, sanitasi lahan
kaggle;Kacang Tanah;Busuk Hitam;Terdapat bercak pada daun, Batang mengalami pembusukan, Pertumbuhan tanaman terhambat;Jamur Aspergillus niger;rotasi tanaman, benih sehat, perbaikan drainase, fungisida tembaga
kaggle;Kacang Tanah;Busuk Buah Botrytis;Batang mengalami pembusukan, Pertumbuhan tanaman terhambat;Jamur Botrytis cinerea;sanitasi tanaman sakit, pengurangan kelembaban, fungisida iprodione
manual;Kacang Tanah;Blas;Daun bercak coklat berbentuk belah ketupat;Jamur Magnaporthe oryzae;Gunakan varietas tahan, fungisida, perbaikan drainase
manual;Kacang Tanah;Wereng Batang Coklat;Daun menguning lalu mengering;Nilaparvata lugens;Gunakan insektisida selektif, varietas tahan
manual;Kacang Tanah;Ulat Grayak;Daun berlubang tidak beraturan;Spodoptera litura;Gunakan insektisida biologis, perangkap feromon
manual;Kacang Tanah;Layu Fusarium;Daun layu dari bawah ke atas;Fusarium oxysporum;Solarisasi tanah, fungisida, varietas tahan
manual;Kacang Tanah;Antraknosa;Buah muncul bercak hitam cekung;Colletotrichum capsici;Fungisida, panen cepat, rotasi tanaman
manual;Kacang Tanah;Busuk Buah;Buah coklat kehitaman, busuk lembek;Phytophthora palmivora;Pangkas buah sakit, fungisida, drainase baik
manual;Kacang Tanah;Karat Daun;Daun bercak kuning-oranye;Hemileia vastatrix;Fungisida tembaga, pangkas daun sakit
manual;Kacang Tanah;Virus Kuning;Daun keriting, kerdil, berubah kuning;Virus Gemini via kutu kebul;Kendalikan kutu kebul, varietas tahan
manual;Kacang Tanah;Busuk Akar;Akar membusuk, tanaman layu mendadak;Phytophthora spp.;Perbaiki drainase, fungisida tanah
manual;Kacang Tanah;Penggerek Buah;Buah berlubang kecil, biji rusak;Hypothenemus hampei;Perangkap serangga, insektisida nabati
manual;Kakao;Blas;Daun bercak coklat berbentuk belah ketupat;Jamur Magnaporthe oryzae;Gunakan varietas tahan, fungisida, perbaikan drainase
manual;Kakao;Wereng Batang Coklat;Daun menguning lalu mengering;Nilaparvata lugens;Gunakan insektisida selektif, varietas tahan
manual;Kakao;Ulat Grayak;Daun berlubang tidak beraturan;Spodoptera litura;Gunakan insektisida biologis, perangkap feromon
manual;Kakao;Layu Fusarium;Daun layu dari bawah ke atas;Fusarium oxysporum;Solarisasi tanah, fungisida, varietas tahan
manual;Kakao;Antraknosa;Buah muncul bercak hitam cekung;Colletotrichum capsici;Fungisida, panen cepat, rotasi tanaman
manual;Kakao;Busuk Buah;Buah coklat kehitaman, busuk lembek;Phytophthora palmivora;Pangkas buah sakit, fungisida, drainase baik
manual;Kakao;Karat Daun;Daun bercak kuning-oranye;Hemileia vastatrix;Fungisida tembaga, pangkas daun sakit
manual;Kakao;Virus Kuning;Daun keriting, kerdil, berubah kuning;Virus Gemini via kutu kebul;Kendalikan kutu kebul, varietas tahan
manual;Kakao;Busuk Akar;Akar membusuk, tanaman layu mendadak;Phytophthora spp.;Perbaiki drainase, fungisida tanah
manual;Kakao;Penggerek Buah;Buah berlubang kecil, biji rusak;Hypothenemus hampei;Perangkap serangga, insektisida nabati
manual;Kedelai;Blas;Daun bercak coklat berbentuk belah ketupat;Jamur Magnaporthe oryzae;Gunakan varietas tahan, fungisida, perbaikan drainase
manual;Kedelai;Wereng Batang Coklat;Daun menguning lalu mengering;Nilaparvata lugens;Gunakan insektisida selektif, varietas tahan
manual;Kedelai;Ulat Grayak;Daun berlubang tidak beraturan;Spodoptera litura;Gunakan insektisida biologis, perangkap feromon
manual;Kedelai;Layu Fusarium;Daun layu dari bawah ke atas;Fusarium oxysporum;Solarisasi tanah, fungisida, varietas tahan
manual;Kedelai;Antraknosa;Buah muncul bercak hitam cekung;Colletotrichum capsici;Fungisida, panen cepat, rotasi tanaman
manual;Kedelai;Busuk Buah;Buah coklat kehitaman, busuk lembek;Phytophthora palmivora;Pangkas buah sakit, fungisida, drainase baik
manual;Kedelai;Karat Daun;Daun bercak kuning-oranye;Hemileia vastatrix;Fungisida tembaga, pangkas daun sakit
manual;Kedelai;Virus Kuning;Daun keriting, kerdil, berubah kuning;Virus Gemini via kutu kebul;Kendalikan kutu kebul, varietas tahan
manual;Kedelai;Busuk Akar;Akar membusuk, tanaman layu mendadak;Phytophthora spp.;Perbaiki drainase, fungisida tanah
manual;Kedelai;Penggerek Buah;Buah berlubang kecil, biji rusak;Hypothenemus hampei;Perangkap serangga, insektisida nabati
manual;Kelapa Sawit;Blas;Daun bercak coklat berbentuk belah ketupat;Jamur Magnaporthe oryzae;Gunakan varietas tahan, fungisida, perbaikan drainase
manual;Kelapa Sawit;Wereng Batang Coklat;Daun menguning lalu mengering;Nilaparvata lugens;Gunakan insektisida selektif, varietas tahan
manual;Kelapa Sawit;Ulat Grayak;Daun berlubang tidak beraturan;Spodoptera litura;Gunakan insektisida biologis, perangkap feromon
manual;Kelapa Sawit;Layu Fusarium;Daun layu dari bawah ke atas;Fusarium oxysporum;Solarisasi tanah, fungisida, varietas tahan
manual;Kelapa Sawit;Antraknosa;Buah muncul bercak hitam cekung;Colletotrichum capsici;Fungisida, panen cepat, rotasi tanaman
manual;Kelapa Sawit;Busuk Buah;Buah coklat kehitaman, busuk lembek;Phytophthora palmivora;Pangkas buah sakit, fungisida, drainase baik
manual;Kelapa Sawit;Karat Daun;Daun bercak kuning-oranye;Hemileia vastatrix;Fungisida tembaga, pangkas daun sakit
manual;Kelapa Sawit;Virus Kuning;Daun keriting, kerdil, berubah kuning;Virus Gemini via kutu kebul;Kendalikan kutu kebul, varietas tahan
manual;Kelapa Sawit;Busuk Akar;Akar membusuk, tanaman layu mendadak;Phytophthora spp.;Perbaiki drainase, fungisida tanah
manual;Kelapa Sawit;Penggerek Buah;Buah berlubang kecil, biji rusak;Hypothenemus hampei;Perangkap serangga, insektisida nabati
kaggle;Kentang;Busuk Hitam;Daun tetap hijau, Terdapat bercak pada daun, Pertumbuhan tanaman terhambat;Bakteri Xanthomonas campestris;Gunakan benih sehat, lakukan rotasi tanaman, sanitasi lahan, dan aplikasi bakterisida
kaggle;Kentang;Bercak Daun;Daun tetap hijau, Daun mengalami kelayuan;Jamur Alternaria solani;Penyemprotan fungisida dan sanitasi daun yang terinfeksi
kaggle;Kentang;Bercak Daun Cercospora;Daun mengalami kelayuan, Batang mengalami pembusukan;Jamur Cercospora spp.;Fungisida dan rotasi tanaman
kaggle;Kentang;Busuk Akar Phytophthora;Daun tetap hijau, Terdapat bercak pada daun, Daun mengalami kelayuan, Batang mengalami pembusukan;Jamur Phytophthora infestans;Fungisida sistemik dan drainase baik
kaggle;Kentang;Embun Tepung;Daun tetap hijau, Terdapat bercak pada daun, Pertumbuhan tanaman terhambat;Jamur Erysiphe spp.;Gunakan fungisida
kaggle;Kentang;Layu Fusarium;Daun berwarna kuning, Daun mengalami kelayuan, Batang mengalami pembusukan;jamur Fusarium oxysporum;rotasi tanaman, penggunaan benih sehat, perbaikan drainase tanah, fungisida
kaggle;Kentang;Hawar Daun Bakteri;Terdapat bercak pada daun, Daun mengalami kelayuan, Pertumbuhan tanaman terhambat;bakteri Xanthomonas spp.;sanitasi kebun, penggunaan bibit sehat, rotasi tanaman, bakterisida
kaggle;Kentang;Busuk Buah Botrytis;Terdapat bercak pada daun, Daun mengalami kelayuan, Pertumbuhan tanaman terhambat;jamur Botrytis cinerea;sanitasi kebun, rotasi tanaman, pengaturan kelembapan, fungisida
kaggle;Kentang;Bercak Daun Cercospora;Daun berwarna kuning, Terdapat bercak pada daun;jamur Cercospora spp.;sanitasi daun sakit, rotasi tanaman, fungisida
kaggle;Kentang;Antraknosa;Daun berwarna kuning, Terdapat bercak pada daun, Batang mengalami pembusukan;Jamur Colletotrichum coccodes;Rotasi tanaman, sanitasi lahan, fungisida
kaggle;Kentang;Busuk Akar Phytophthora;Terdapat bercak pada daun, Daun mengalami kelayuan, Batang mengalami pembusukan;Jamur Phytophthora infestans;Rotasi tanaman, fungisida
kaggle;Kentang;Layu Bakteri;Daun tetap hijau, Daun mengalami kelayuan, Batang mengalami pembusukan;Bakteri Ralstonia solanacearum;rotasi tanaman non-solanaceae, bibit sehat, sanitasi alat pertanian, perbaikan drainase, eradikasi tanaman terinfeksi
kaggle;Kentang;Hawar Daun Bakteri;Daun mengalami kelayuan, Batang mengalami pembusukan;Bakteri Xanthomonas campestris;sanitasi tanaman sakit, rotasi tanaman, bakterisida tembaga, pengendalian kelembaban
kaggle;Kentang;Hawar Daun Bakteri;Daun tetap hijau, Terdapat bercak pada daun;Bakteri Xanthomonas spp.;sanitasi tanaman sakit, rotasi tanaman, bakterisida tembaga
